Request id,Pickup point,Driver id,Status,Request timestamp,Time Slot,Request Date,Request hour,Request Day,Drop timestamp
619,Airport,1.0,Trip Completed,11-07-2016 11:51:00 AM,Morning,2016-07-11,11,Monday,11-07-2016 01:00:00 PM
867,Airport,1.0,Trip Completed,11-07-2016 05:57:00 PM,Evening,2016-07-11,17,Monday,11-07-2016 06:47:00 PM
1807,City,1.0,Trip Completed,12-07-2016 09:17:00 AM,Morning,2016-07-12,9,Tuesday,12-07-2016 09:58:00 AM
2532,Airport,1.0,Trip Completed,12-07-2016 09:08:00 PM,Night,2016-07-12,21,Tuesday,12-07-2016 10:03:00 PM
3112,City,1.0,Trip Completed,13-07-2016 08:33:16 AM,Early Morning,2016-07-13,8,Wednesday,13-07-2016 09:25:47 AM
3879,Airport,1.0,Trip Completed,13-07-2016 09:57:28 PM,Night,2016-07-13,21,Wednesday,13-07-2016 10:28:59 PM
4270,Airport,1.0,Trip Completed,14-07-2016 06:15:32 AM,Early Morning,2016-07-14,6,Thursday,14-07-2016 07:13:15 AM
5510,Airport,1.0,Trip Completed,15-07-2016 05:11:52 AM,Early Morning,2016-07-15,5,Friday,15-07-2016 06:07:52 AM
6248,City,1.0,Trip Completed,15-07-2016 05:57:27 PM,Evening,2016-07-15,17,Friday,15-07-2016 06:50:51 PM
267,City,2.0,Trip Completed,11-07-2016 06:46:00 AM,Early Morning,2016-07-11,6,Monday,11-07-2016 07:25:00 AM
1467,Airport,2.0,Trip Completed,12-07-2016 05:08:00 AM,Early Morning,2016-07-12,5,Tuesday,12-07-2016 06:02:00 AM
1983,City,2.0,Trip Completed,12-07-2016 12:30:00 PM,Afternoon,2016-07-12,12,Tuesday,12-07-2016 12:57:00 PM
2784,Airport,2.0,Trip Completed,13-07-2016 04:49:20 AM,Late Night,2016-07-13,4,Wednesday,13-07-2016 05:23:03 AM
3075,City,2.0,Trip Completed,13-07-2016 08:02:53 AM,Early Morning,2016-07-13,8,Wednesday,13-07-2016 09:16:19 AM
3379,City,2.0,Trip Completed,13-07-2016 02:23:02 PM,Afternoon,2016-07-13,14,Wednesday,13-07-2016 03:35:18 PM
3482,Airport,2.0,Trip Completed,13-07-2016 05:23:18 PM,Evening,2016-07-13,17,Wednesday,13-07-2016 06:20:51 PM
4652,City,2.0,Trip Completed,14-07-2016 12:01:02 PM,Afternoon,2016-07-14,12,Thursday,14-07-2016 12:36:46 PM
5335,Airport,2.0,Trip Completed,14-07-2016 10:24:13 PM,Night,2016-07-14,22,Thursday,14-07-2016 11:18:52 PM
535,Airport,3.0,Trip Completed,11-07-2016 10:00:00 AM,Morning,2016-07-11,10,Monday,11-07-2016 10:31:00 AM
960,Airport,3.0,Trip Completed,11-07-2016 06:45:00 PM,Evening,2016-07-11,18,Monday,11-07-2016 07:23:00 PM
1934,Airport,3.0,Trip Completed,12-07-2016 11:17:00 AM,Morning,2016-07-12,11,Tuesday,12-07-2016 12:23:00 PM
2083,Airport,3.0,Trip Completed,12-07-2016 03:46:00 PM,Afternoon,2016-07-12,15,Tuesday,12-07-2016 04:40:00 PM
2211,Airport,3.0,Trip Completed,12-07-2016 06:00:00 PM,Evening,2016-07-12,18,Tuesday,12-07-2016 06:28:00 PM
3096,Airport,3.0,Trip Completed,13-07-2016 08:17:29 AM,Early Morning,2016-07-13,8,Wednesday,13-07-2016 09:22:37 AM
3881,Airport,3.0,Trip Completed,13-07-2016 09:54:18 PM,Night,2016-07-13,21,Wednesday,13-07-2016 10:51:23 PM
5254,City,3.0,Trip Completed,14-07-2016 09:23:03 PM,Night,2016-07-14,21,Thursday,14-07-2016 10:25:19 PM
5434,City,3.0,Trip Completed,15-07-2016 02:41:38 AM,Late Night,2016-07-15,2,Friday,15-07-2016 03:24:43 AM
5916,City,3.0,Trip Completed,15-07-2016 10:00:43 AM,Morning,2016-07-15,10,Friday,15-07-2016 10:53:06 AM
669,City,4.0,Trip Completed,11-07-2016 01:08:00 PM,Afternoon,2016-07-11,13,Monday,11-07-2016 01:49:00 PM
1567,Airport,4.0,Trip Completed,12-07-2016 06:21:00 AM,Early Morning,2016-07-12,6,Tuesday,12-07-2016 07:10:00 AM
1826,City,4.0,Trip Completed,12-07-2016 09:27:00 AM,Morning,2016-07-12,9,Tuesday,12-07-2016 10:27:00 AM
2102,City,4.0,Trip Completed,12-07-2016 04:09:00 PM,Afternoon,2016-07-12,16,Tuesday,12-07-2016 05:01:00 PM
2847,Airport,4.0,Trip Completed,13-07-2016 05:34:20 AM,Early Morning,2016-07-13,5,Wednesday,13-07-2016 06:09:59 AM
3722,Airport,4.0,Trip Completed,13-07-2016 07:57:59 PM,Evening,2016-07-13,19,Wednesday,13-07-2016 08:32:04 PM
4075,City,4.0,Trip Completed,14-07-2016 02:17:35 AM,Late Night,2016-07-14,2,Thursday,14-07-2016 03:21:38 AM
4686,City,4.0,Trip Completed,14-07-2016 01:01:10 PM,Afternoon,2016-07-14,13,Thursday,14-07-2016 01:45:28 PM
5771,Airport,4.0,Trip Completed,15-07-2016 08:30:06 AM,Early Morning,2016-07-15,8,Friday,15-07-2016 09:37:20 AM
