Time Slot,Status,total
Afternoon,Cancelled,91
Afternoon,No Cars Available,228
Afternoon,Trip Completed,491
Early Morning,Cancelled,668
Early Morning,No Cars Available,323
Early Morning,Trip Completed,681
Evening,Cancelled,124
Evening,No Cars Available,1127
Evening,Trip Completed,642
Late Night,Cancelled,65
Late Night,No Cars Available,299
Late Night,Trip Completed,214
Morning,Cancelled,252
Morning,No Cars Available,189
Morning,Trip Completed,404
Night,Cancelled,64
Night,No Cars Available,484
Night,Trip Completed,399
